#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         543    -3.77142    -3.77533 0.000396806
         544    -3.77134    -3.77532 0.000396145
         545    -3.77219    -3.77532  0.00039546
         546     -3.7726    -3.77531 0.000394767
         547    -3.77272    -3.77531 0.000394074
         548    -3.77255     -3.7753 0.000393387
         549    -3.77269     -3.7753 0.000392699
         550     -3.7733    -3.77529 0.000392002
         551    -3.77376    -3.77529   0.0003913
         552    -3.77422    -3.77529 0.000390596
         553    -3.77438    -3.77529 0.000389893
         554    -3.77499    -3.77529  0.00038919
         555    -3.77515    -3.77529 0.000388489
         556    -3.77575    -3.77529 0.000387791
         557    -3.77619    -3.77529 0.000387098
         558    -3.77617    -3.77529 0.000386408
         559    -3.77598    -3.77529 0.000385718
         560    -3.77654     -3.7753 0.000385036
         561    -3.77662     -3.7753 0.000384357
         562    -3.77639     -3.7753 0.000383678
         563    -3.77645     -3.7753 0.000383002
         564    -3.77694     -3.7753 0.000382334
         565    -3.77726    -3.77531 0.000381673
         566    -3.77757    -3.77531 0.000381019
         567    -3.77755    -3.77532 0.000380368
         568    -3.77767    -3.77532 0.000379721
         569    -3.77807    -3.77532 0.000379084
         570    -3.77876    -3.77533 0.000378467
         571    -3.77914    -3.77534 0.000377863
         572    -3.77905    -3.77534 0.000377258
         573    -3.77894    -3.77535 0.000376652
         574    -3.77943    -3.77536 0.000376063
         575     -3.7796    -3.77536 0.000375481
         576    -3.77977    -3.77537 0.000374907
         577    -3.78009    -3.77538 0.000374346
         578    -3.78009    -3.77539 0.000373787
         579    -3.77994     -3.7754 0.000373225
         580    -3.78024     -3.7754 0.000372674
         581    -3.78054    -3.77541 0.000372138
         582    -3.78054    -3.77542 0.000371603
         583    -3.78099    -3.77543 0.000371088
         584    -3.78145    -3.77544 0.000370595
         585    -3.78145    -3.77545 0.000370104
         586    -3.78145    -3.77546 0.000369614
         587    -3.78206    -3.77547 0.000369155
         588    -3.78221    -3.77549 0.000368705
         589    -3.78191     -3.7755  0.00036824
         590    -3.78236    -3.77551   0.0003678
         591     -3.7825    -3.77552 0.000367368
         592    -3.78233    -3.77553 0.000366928
         593    -3.78261    -3.77554 0.000366503
         594    -3.78242    -3.77556 0.000366069
         595    -3.78252    -3.77557  0.00036564
         596    -3.78199    -3.77558 0.000365186
         597    -3.78236    -3.77559 0.000364751
         598    -3.78195     -3.7756 0.000364296
         599    -3.78167    -3.77561 0.000363829
         600    -3.78168    -3.77562 0.000363363
         601    -3.78152    -3.77563 0.000362891
         602    -3.78149    -3.77564 0.000362419
         603    -3.78099    -3.77565 0.000361927
         604    -3.78108    -3.77566 0.000361439
         605    -3.78116    -3.77567 0.000360956
         606    -3.78107    -3.77568  0.00036047
         607    -3.78082    -3.77568 0.000359976
         608    -3.78072    -3.77569 0.000359479
         609    -3.78046     -3.7757 0.000358974
         610    -3.78005    -3.77571 0.000358457
         611    -3.77935    -3.77571  0.00035792
         612    -3.77864    -3.77572 0.000357367
         613     -3.7781    -3.77572 0.000356805
         614    -3.77787    -3.77573 0.000356241
         615     -3.7775    -3.77573 0.000355674
         616    -3.77729    -3.77573 0.000355105
         617     -3.7771    -3.77573 0.000354537
         618    -3.77769    -3.77574 0.000353977
         619    -3.77739    -3.77574 0.000353415
         620    -3.77755    -3.77574 0.000352857
         621    -3.77743    -3.77574   0.0003523
         622    -3.77764    -3.77575 0.000351746
         623     -3.7777    -3.77575 0.000351196
         624    -3.77748    -3.77575 0.000350644
         625    -3.77773    -3.77576 0.000350097
         626    -3.77738    -3.77576 0.000349548
         627    -3.77719    -3.77576 0.000348998
         628    -3.77717    -3.77576 0.000348449
         629    -3.77715    -3.77577 0.000347902
         630    -3.77698    -3.77577 0.000347355
         631    -3.77711    -3.77577 0.000346811
         632     -3.7774    -3.77577 0.000346272
         633    -3.77753    -3.77578 0.000345736
         634    -3.77735    -3.77578   0.0003452
         635    -3.77748    -3.77578 0.000344666
         636    -3.77744    -3.77578 0.000344134
         637    -3.77786    -3.77579  0.00034361
         638    -3.77766    -3.77579 0.000343084
         639    -3.77716    -3.77579 0.000342553
         640    -3.77696    -3.77579 0.000342023
         641     -3.7766    -3.77579 0.000341492
         642    -3.77624    -3.77579 0.000340961
         643    -3.77694     -3.7758 0.000340435
         644    -3.77689     -3.7758  0.00033991
         645    -3.77684     -3.7758 0.000339387
         646    -3.77694     -3.7758 0.000338867
         647     -3.7769     -3.7758 0.000338347
         648    -3.77687    -3.77581 0.000337829
         649      -3.777    -3.77581 0.000337313
         650      -3.777    -3.77581 0.000336799
         651    -3.77715    -3.77581 0.000336288
         652    -3.77716    -3.77581 0.000335779
         653    -3.77719    -3.77582 0.000335271
         654    -3.77677    -3.77582 0.000334762
         655    -3.77651    -3.77582 0.000334253
         656    -3.77565    -3.77582 0.000333743
         657    -3.77586    -3.77582 0.000333235
